股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
2734,2015/6/30,436170159.3,436170159.3,408323504.3,329182770.4,5348.55,24217025.1,46283093.09,4951473.24,3683793.88,4094169.46,31940824.48,3674023.17,982070.04,34632777.61,4413063.21,30219714.4,30189795.43,30212092.69,30184017.41
2734,2015/9/30,620078468.7,620078468.7,588740175.7,468296748.4,7540.94,37222538.68,73723790.54,4815798.93,4673758.14,5976212.24,37314505.23,5180477.24,1507116.51,40987865.96,4950263.21,36037602.75,35973416.08,36370165.63,36225532
2734,2015/12/31,834544051.7,834544051.7,779946123.9,626353290.9,30066.93,48493388.31,97461762.54,5489944.76,2117670.42,17110342.61,71708270.45,6469362.34,1525153.98,76652478.81,9109149.78,67543329.03,67439600,68064947.46,67835503.63
2734,2016/3/31,254501473.2,254501473.2,234794367.8,184925273.4,359571.96,16166185.67,22930940.72,3758919.82,6653476.22,3434689.72,23141795.07,10899288.08,156767,33884316.15,4743548.9,29140767.25,29106195.31,29064123.16,29044772.8
2734,2016/6/30,538040792.4,538040792.4,492192980.5,392375193.1,728774.31,37229190.35,52043373.62,3680708.39,6135740.71,10028269.96,55876081.8,11978097.36,201480.53,67652698.63,8435014.25,59217684.38,58943726.5,59513386.5,59172904.83
2734,2016/9/30,788815407.3,788815407.3,736641838.3,575245385.5,1114640.62,54853922.57,89245176.88,7156238.37,9026474.42,18553499.21,70727068.18,12823120.77,4595537.61,78954651.34,9094987.06,69859664.28,69472230.85,70255412.72,69777977.91
2734,2016/12/31,1160424639,1160424639,1051609897,819027651.5,4275329.1,84534607.29,132285729.4,6173246.82,5313333.16,29107544.94,137922286.7,5076858.29,14371801.65,128627343.3,15410964,113216379.3,112992341.7,113936979.7,113552153.1
2769,2015/6/30,1373715363,1373715363,1465325838,1283255562,325897.89,17238571.16,38613333.22,125601075,291398.74,208589325.1,61762327.86,30962512.5,23962.38,92700877.98,13379789.55,79321088.43,79321088.43,78946615.57,78946615.57
2769,2015/9/30,2191869756,2191869756,2300066258,2057998019,548165.87,26892005.84,57953029.43,154841835.4,1833202.02,321650500.3,128883969,30963185.27,72866.02,159774288.3,30830529.9,128943758.4,128943758.4,124474933.1,124474933.1
2769,2015/12/31,3710546152,3710546152,3898438827,3506130283,693762.08,43755532.25,86643096,256258213.7,4957939.94,423204824.1,168081230.8,31862127.72,119607.12,199823751.4,28884175.76,170939575.7,170939575.7,173811626.9,173811626.9
2769,2016/3/31,576067985.6,576067985.6,612712877.5,530533158.3,291782.6,8280810.5,19191052.96,58566793.13,-4150720.01,196875112.6,72216096.99,233777.19,1352.11,72448522.07,11426475.08,61022046.99,61022046.99,60288613.09,60288613.09
2769,2016/6/30,1524726131,1524726131,1767868042,1413245270,522881.53,18962126.24,39455373.74,295356495.8,325894.29,381413400.8,128026581.5,6244471.6,9520.93,134261532.1,20554580.36,113706951.8,113706951.8,114481645,114481645
2769,2016/9/30,2569735532,2569735532,2835709340,2396447391,722505.49,28193539.03,63781668.36,347122005,-557768.57,410259246.4,178750125.1,7021037.97,436816.47,185334346.6,28746343.77,156588002.9,156588002.9,157813381.3,157813381.3
2769,2016/12/31,3595007734,3595007734,3708563441,3369647406,990983.2,39530401.74,107207247,185224078.2,5963325.47,264063634.2,217198095.5,8603273.55,759673.88,225041695.2,34133307.04,190908388.2,190908388.2,185633446.6,185633446.6
2785,2015/12/31,642610230.3,642610230.3,616555942.6,484651772.2,5128117.21,52228813.8,48055467.32,15825644.75,10666127.3,3032532.91,29577520.65,457560.19,314698.9,29720381.94,8170949.71,21549432.23,21079794.95,21203794.47,21008334.06
2785,2016/3/31,139492064.6,139492064.6,133645742,103859370.3,867351.49,14478138.96,12987330.87,4577411.79,-3123861.38,500541.67,6346864.23,77939.45,124293.97,6300509.71,2776217.67,3524292.04,2634145.91,3182487.67,2653276.76
2785,2016/6/30,365763594.4,365763594.4,352452515.8,279774713,1541579.28,28090734.89,28071009.78,7828695.24,7145783.55,944403.65,14255482.33,198640.91,277168.26,14176954.98,4901859.38,9275095.6,9083348.65,9681669.28,9421498.42
