股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
61,2015/3/31,1147628371,78030902.15,226370759.3,862010005.6,2631032.86,2776093825,3005529785,2914509719,11560418918,14336512743,315929559.9,586781286.6,65180204.59,95847832.7,579669511.4,6146632218,2047603427,8194235645,1696964131,2609588182,184423497.8,4884087617,6142277098,14336512743,0.451644694,0.403279634
61,2015/6/30,863907570.2,76743636.72,119757585.4,811276567.6,2834676.27,2323057271,3644799222,3043346851,12375533810,14698591082,349465856.1,465279680.9,79048961.87,65450986.42,602806718.3,5776472620,2768947457,8545420077,1696964131,2609588182,184423497.8,4849068497,6153171004,14698591082,0.402158449,0.406015547
61,2015/9/30,1014463617,78821296.76,93694615.33,884460187.5,464952386.2,2926855183,2956313294,2872883722,12302546585,15229401769,377111245.5,510963874.6,70542123.02,56402015.7,616026837.3,6149134381,2907431687,9056566068,1696964131,2613507418,184423497.8,4855047092,6172835701,15229401769,0.475978406,0.386303321
61,2015/12/31,1163749387,71342277.2,55551765.42,694780016.7,509937233.7,3035594061,2840403688,2957452309,13095886197,16131480258,763052796.7,451780358.2,121357909.7,65366815.91,793025010.9,7107065751,2939666091,10046731842,1696964131,2595946046,193555683.3,4811186610,6084748416,16131480258,0.427123396,0.364256575
61,2016/3/31,1260642080,59539664.78,102538371.5,726546977.9,507719608.2,3198193395,2798967147,2942272644,13259110532,16457303927,622519925.9,495956995.6,82756779.18,56668330.52,767525722.1,6934250816,3365207341,10299458157,1696964131,2626468024,193555683.3,4845586119,6157845770,16457303927,0.461216861,0.36440723
61,2016/6/30,1281731109,75551293,61404603.48,792666949.5,498344566.9,3166898502,3237257055,2924364478,13646800444,16813698945,589881292.6,612429955.6,99122150.62,59731937.92,895934137,7054195580,3598144294,10652339874,1696964131,2625310797,193555683.3,4787963162,6161359071,16813698945,0.44893829,0.380889153
61,2016/9/30,1388020795,69855457.19,56997518.84,838348158.4,501656584.6,3165419352,2437241818,2903465615,13693149589,16858568941,658054554,485548659.3,91979236.4,59098077.52,854565268.7,6384175156,4130623814,10514798970,1696964131,2625310797,193555683.3,4969498595,6343769971,16858568941,0.495822761,0.332333141
61,2016/12/31,1178152642,78832169.72,56577253.25,714766130.1,416735685.1,2810245976,1937632411,2094254975,14438941752,17249187729,916706988.1,361741555.3,140607225.7,86714418.24,740321087.3,6192061585,4808817782,11000879367,1696964131,2625310797,220072174.6,4844272169,6248308361,17249187729,0.45384658,0.275252288
62,2015/3/31,521458472.3,27253842.83,72988826.41,33952401.91,504344548.3,1318500126,389967661.8,197151509.5,2675020703,3993520829,308181477.3,217025443.1,14126086.24,178831600.5,156525924.7,875613278.7,644146190.3,1519759469,666949797,27968.83,222018961.3,2410262999,2473761360,3993520829,1.505801885,0.42780991
62,2015/6/30,785908821.1,29848530.13,75232188.75,46543029.81,495041144.6,1442635109,388963006.8,194686123.9,2695776783,4138411892,300814093.8,239654119.5,12609398.87,115335789.8,162204042.4,864980370,663130765,1528111135,666949797,681436.22,222018961.3,2540657147,2610300757,4138411892,1.667824102,0.44258478
