股票代码,统计日期,销售商品、提供劳务收到的现金,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出小计,投资活动产生的现金流量净额,偿还债务支付的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,净利润,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,财务费用,投资损失,现金的期末余额,现金的期初余额,间接法-现金及现金等价物净增加额
300240,2016/6/30,1170625974,64511115.62,1250024788,879410151.2,172105025.5,25212707.79,59868950.64,1136596835,113427952.6,20685000,31815186.32,161741605.2,-141056605.2,64971705.8,79594902.02,26343244.17,1647665.75,462204257.1,463851922.9,34981490.18,16364269.31,1815064.08,777552.87,487274.62,463851922.9,462204257.1,1647665.75
300240,2016/12/31,2557446589,46676158.8,2642301085,1975612532,351650294.3,61206132.83,129459331.2,2517928291,124372794.4,237891306.5,68707769.84,388227804.9,-150336498.4,211620387.9,235759095.5,54554448.86,46687175,462204257.1,508891432.1,79343124.92,42366996.04,4376545.78,-5480113.77,-3038695.95,508891432.1,462204257.1,46687175
300355,2015/6/30,416107630.4,33252769.66,449360400.1,533451800.4,51257258.48,49797590.58,47992348.24,682498997.7,-233138597.6,3483393.34,120148663.9,120148663.9,-116665270.6,499800000,540627863.8,96672136.18,-253131732,368560803,115429071,118330597.1,14163754.05,1202101.58,22941372.35,232068.36,115429071,368560803,-253131732
300355,2015/12/31,1135543915,71176913.35,1206720828,840597150.1,100776775.8,101763258.8,79045511.76,1122182696,84538131.84,3484803.62,225694532.1,286694532.1,-283209728.5,1073300000,1283880915,329009075.9,130337479.2,368560803,498898282.2,173580701,28907519.02,2524877.85,45323077.68,-913468.34,498898282.2,368560803,130337479.2
300355,2016/12/31,2005464334,42378569.79,2047842904,1581166568,136582544.8,154242549.3,70175630.77,1942167293,105675610.9,1208127.08,113937765,388943290.8,-387735163.7,1229547292,1655523415,767329882.8,485238887.2,498898282.2,984137169.4,369819294.5,35545390.71,2788005.45,71680993.59,-682419.38,984137169.4,498898282.2,485238887.2
300409,2016/6/30,282860288.9,50354552.78,333214841.7,179392293.5,43838950.09,21050968.86,121582157.3,365864369.7,-32649528.06,188475587,53079755.64,403066955.6,-214591368.6,69803036.47,104839579.1,464214019.7,216973123,108811869.5,325784992.5,47355753.16,9571776.49,942183.23,3445024.69,-722621.75,325784992.5,108811869.5,216973123
300409,2016/12/31,735444686.4,129866615,865311301.4,421403573.9,87336013.82,64371119.34,328462638.8,901573345.9,-36262044.44,396306011.7,119719533.6,749125257.3,-352819245.7,192849514.5,268558915.8,534695194.8,145613904.7,108811869.5,254425774.2,105224912.7,21128923.27,2350772.22,7092797.07,-1822640.35,254425774.2,108811869.5,145613904.7
600057,2015/6/30,28872958598,220801159.4,29167226882,25945766961,232346604.9,244510068,671394760.7,27094018394,2073208488,445356347.4,299428260.9,371257528.5,74098818.89,9997792730,10543572406,-1464458416,639296944.4,720416468.5,1359713413,270860353.3,50220114.68,7072902.95,274402490.5,-177090290,1359713413,720416468.5,639296944.4
600057,2015/12/31,66436941834,242749747.8,66805546745,61501676209,446951510,493636765,1440511165,63882775649,2922771096,1935203548,3020126209,4187417113,-2252213566,23218926428,25380140440,596390156.6,1206581596,720416468.5,1926998064,462406740.5,107316843,20028499.38,604573847.8,-567496938.9,1926998064,720416468.5,1206581596
600057,2016/6/30,55499984443,345078757.7,55893833077,53295983050,274926754.4,289011906.7,636917690.6,54496839401,1396993676,490953933.6,208691635.4,1608635649,-1117681716,9536086817,10989637104,-155250755.7,113229090.1,1926998064,2040227154,267702250.5,112786695.1,11721002.84,246377289.8,-4646690.02,2040227154,1926998064,113229090.1
600057,2016/12/31,1.36E+11,841142296.2,1.37E+11,1.31E+11,523654387.2,629365096.6,2031092069,1.34E+11,2221550192,1002355513,1677593779,4597149328,-3594793815,27324709297,29378984354,1557180667,198793530.5,1926998064,2125791595,673136274.7,236246442.3,24203997.25,494153686.8,128980652.3,2125791595,1926998064,198793530.5
600058,2015/6/30,38931132328,1623517456,41098465190,38985000538,572079103.9,426168934.7,1662275438,41645524015,-547058824.8,25868776.71,281764736.4,300443036.4,-274574259.6,13001346403,13533771685,1842449997,1020563329,1627064341,2647627670,-625246466.3,338710881.2,15592771.08,309027719.8,2168759.34,2647627670,1627064341,1020563329
600058,2015/12/31,62257019407,1600174218,64521777850,58409082267,883791399.2,818298136.2,2982909789,63094081592,1427696258,49319462.89,510030117.3,577034445.8,-527714982.9,38526550243,39373163267,349861453.8,1252174955,1627064341,2879239296,-5973398828,689622588.4,34634826.7,1449519522,-122663368,2879239296,1627064341,1252174955
600058,2016/6/30,17543821197,10072474509,27818720169,15895379907,354594948.9,469972516.8,1428838515,18148785887,9669934282,2217605.93,67159834.83,285411728.2,-283194122.2,19723041018,20141052104,-9181923879,207221523.1,2879239296,3086460819,106324428.6,50797100.22,9071843.75,394688868.5,-151111737.9,3086460819,2879239296,207221523.1
600058,2016/12/31,46600799551,11493989464,58332610947,44241828332,705321541.8,637447125.5,1755913285,47340510285,10992100662,17629869.63,135516872.8,354002529.9,-336372660.3,25044233535,25596984588,-10334096981,328164609.8,2879239296,3207403906,16236098.6,101423866,17218573.46,542109987.6,-124309054.7,3207403906,2879239296,328164609.8
600075,2015/6/30,1347301523,81511749.3,1439596484,1171297059,123053560.9,55962539.89,68799955.21,1419113115,20483369.02,20364382.96,621972.98,20621972.98,-257590.02,260000000,271860822.4,-11860822.36,8364956.64,204321646.7,212686603.4,13826288.46,50901905.5,2751227.04,10861541.62,-60761596.32,212686603.4,204321646.7,8364956.64
600075,2015/12/31,1876443731,77887450.47,1980150360,1489441552,330160260.4,95232857.97,143463860.9,2058298531,-78148171.32,145188415.5,29252201.14,170771587.7,-25583172.21,470000000,493019342.3,66930657.66,-36002831.64,204321646.7,168318815.1,31006543.02,99105023.74,5736130.78,22221488.11,-148502032.6,168318815.1,204321646.7,-36002831.64
600075,2016/6/30,3175786580,134685135.8,3317450628,2376878239,216297119.5,309663299.9,171290221.7,3074128880,243321748,12377063.27,199357347.7,-356369356.2,368746419.5,1099950000,1213551023,-513601023.3,98467144.17,218367032.5,316834176.6,270014072,166387365.8,5001102.92,113601023.3,3179563.27,316834176.6,218367032.5,98467144.17
600075,2016/12/31,5999395223,98320699.3,6166558381,4027713836,538453308.4,579727330.6,248446880.5,5394341356,772217025,22863702.19,730488077.3,1389437032,-1366573329,2969384422,3151171738,-382861004.4,-976605051.4,1178889100,202284049.1,442009300,332668993.1,11568583.17,181175058.1,-545223.59,202284049.1,1178889100,-976605051.4
600081,2015/6/30,2274545903,76237979.15,2350783882,1379054901,320213051.8,150795247.4,260478192,2110541392,240242490,14388514.61,110902412.9,149475773.2,-135087258.6,379098000,576210730.4,-21174641.44,84378919.09,367829583.4,452208502.5,188837000.2,79732335.17,6141352.2,12889325.52,-48406363.37,452208502.5,367829583.4,84378919.09
600081,2015/12/31,4577041379,194601410.4,4771642790,2851484862,651786320.9,283568326.9,422451273,4209290783,562352006.7,151711595.6,271493648.1,370067008.4,-218355412.8,749470500,1320801797,-188818298.9,154817706.2,367829583.4,522647289.6,280927840.6,167263210.6,13221582.13,25139063.81,-83326790.36,522647289.6,367829583.4,154817706.2
600081,2016/6/30,2200889966,65738616.43,2266628583,1472043247,327918692.6,183989162.4,170079033.7,2154030135,112598447.3,29012309.05,157258741.5,172158741.5,-143146432.5,429521500,682951809.3,-48780299.75,-78984536.67,522647289.6,443662752.9,118291589.4,94266602.92,8592129.35,7471012.98,-29796639.05,443662752.9,522647289.6,-78984536.67
600081,2016/12/31,4143474675,194364360.4,4337839035,2554182246,650840883.2,278311680.8,466560070.9,3949894881,387944154.4,69710335.77,318811223,333711223,-264000887.2,739521500,1015311598,-211488306.8,-88912763.27,522647289.6,433734526.3,233641182.7,187247937.5,20012144.15,16402047.14,-62724708.86,433734526.3,522647289.6,-88912763.27
600098,2015/6/30,9595665350,170766615,9770907730,6270055921,557949059,865558970.2,197536657.2,7891100607,1879807123,647594488.1,583613622.8,1017281223,-369686734.8,788532380.2,1116464631,-657411401.3,852719287.2,4217195141,5069914428,790761122.6,528908704.9,11679121.47,316438646.5,-179805749,5069914428,4217195141,852719287.2
600098,2015/12/31,21700091614,287961428.3,21996738976,15834651643,1005753291,1629373341,337785610.8,18807563887,3189175089,1404972015,1000679037,2055477766,-650505751.4,2484370908,3978517177,-2097325358,441540177.8,4217195141,4658735319,1838190419,1042551384,24543690.5,621400944.3,-519880049.7,4658735319,4217195141,441540177.8
600098,2016/6/30,11167377456,79277787.32,11251967042,9312144485,632114586.7,650986590.1,247346162.7,10842591824,409375218,444998251.6,291882481.8,3516778237,-3071779986,3881121724,4684157854,1805893673,-856497163.1,4658735319,3802238156,692210701,550531857.5,19606151.17,287873906.5,-238237788.7,3802238156,4658735319,-856497163.1
600098,2016/12/31,24683440079,286330607.6,25532905195,19682046870,1152507130,1513253125,503276783.1,23057729867,2475175328,586800322,736214794.5,2977848738,-2391048416,8468135431,10078799064,-699163906.9,-614768003.3,4658735319,4043967316,1011793479,1111988318,35354633.45,565620626.1,-282479754.1,4043967316,4658735319,-614768003.3
600153,2015/6/30,61187041785,4875195546,66749659101,57106361585,1043527760,2535846668,6628801493,67314537506,-564878404.5,992623547,128344358.3,4585070049,-3592446502,19310498336,20205876346,3945347044,-220949462.8,5755357422,5534407960,891428068,128740170.8,9063610.82,163237364.6,-232813599.9,5534407960,5755357422,-220949462.8
600153,2015/12/31,1.30E+11,8402812058,1.40E+11,1.19E+11,1798524802,4233913219,8802232917,1.34E+11,5777496499,3712467437,431821226.4,2589261356,1123206081,43013277427,45846578599,-3798814105,3115580647,5755357422,8870938069,3563746138,246586351,19852719.06,274781210.4,-613451822.4,8851938069,5755357422,3115580647
600153,2016/6/30,72061101866,1279066023,73873387556,64619728512,1325078981,3468261142,4124642137,73537710772,335676783.8,260387780.2,130149050.9,6050519336,-5790131556,19799192803,21131312275,9699714529,4260859699,8870938069,13131797768,1103899432,116194257.1,9406121.79,38021484.72,-68494353.04,12446797768,8851938069,4260859699
600153,2016/12/31,1.65E+11,9087630906,1.75E+11,1.60E+11,2011795445,5166706700,12534972422,1.80E+11,-4840447871,47768383575,543990941.3,55325298294,-7556914719,36740809381,40697503804,13196094392,874782745.1,8870938069,9745720814,3949492262,260105655.6,19739834.85,346728439.6,-791270136.6,9745720814,8851938069,874782745.1
600233,2015/6/30,433386242.8,10906561.71,448529696.2,199276320.5,155462576.8,27812031.9,42864118.07,425415047.3,23114648.96,1131900064,5795535.18,1128822527,3077537.49,8399358.33,26623205.14,-26623205.14,1656558.51,302701671.6,304358230.1,29836090.42,12430367.62,154125.09,-6994076.06,-20618563.95,304358230.1,302701671.6,1656558.51
600233,2015/12/31,936285534.8,27431317.01,974821358.4,411767930.4,295379524.1,54296053.5,111124583.1,872568091.1,102253267.3,2524023233,19963664.56,2592501573,-68478339.77,8399358.33,38240304.45,-18240304.45,23923985.32,302701671.6,326625656.9,70304347.95,24061078.8,300221.31,-17899310.38,-37856150.01,326625656.9,302701671.6,23923985.32
600233,2016/12/31,17503924142,528038535.6,18031962677,13347731788,1640930670,634250541.1,530094970,16153007969,1878954708,1503099197,1613074703,5360382829,-3857283632,50000000,461921131.1,3077414594,1097544969,488499718.2,1586044687,1371909977,171551203.7,35167157.93,532373.38,-32684188.9,1586044687,488499718.2,1097544969
600238,2015/6/30,166064675.1,4980780.4,171045455.5,127251078.2,46939785.78,34670021,37504112.68,246364997.7,-75319542.19,31413251.8,5584730.71,24812371.63,6600880.17,90000000,93327916.68,-15127916.68,-83843226.03,195573378.8,111730152.8,1464189.29,11338296.72,1628833.98,3301000.01,-4458896.59,111730152.8,195573378.8,-83843226.03
600238,2015/12/31,459339993.8,30330056,489670049.8,242944746.2,89433472.77,54366165.19,76134628.55,462879012.8,26791037.06,139801154.8,9770673.42,137512567.9,2288586.97,120000000,127589944.5,-4389944.45,24682676.28,195573378.8,220256055.1,13279866.47,22924675.9,3257667.96,6437229.15,3279109.23,220256055.1,195573378.8,24682676.28
600238,2016/6/30,556898590.1,7825926.32,564724516.5,450354024.7,40391421.16,47830039.89,45042740.33,583618226.1,-18893709.66,11538679.64,4926726.43,15604484.49,-4065804.85,30000000,47556880.11,46743119.89,23717538.58,220256055.1,243973593.7,-45426775.95,11095541.47,1536637.84,3954926.22,1225958.46,243973593.7,220256055.1,23717538.58
600238,2016/12/31,1452040739,15290015.77,1467330754,1083800970,84847789.7,94342591.31,121823090.7,1384814442,82516312.63,176708346.7,20084241.69,180385954.8,-3677608.08,95000000,110428325.5,453871674.5,532710379.1,220256055.1,752966434.2,-35531425.78,22383953.45,3510721.67,13011270.93,-434.8,752966434.2,220256055.1,532710379.1
600251,2015/6/30,882928119,51908223.26,988264615.8,638002480.1,40664094.57,28126286.7,75973454.7,782766316.1,205498299.7,188972333,65134966.91,146604966.9,42367366.11,552858757.8,670120483,-238361955.9,9503709.93,338454572.2,347958282.1,127211872.9,38236826.36,941547.96,22024445.47,-128462376.8,347958282.1,338454572.2,9503709.93
600251,2015/12/31,1689203953,106949952.6,1928142475,1690051524,113679018.2,55612074.69,209754978,2069097595,-140955120.3,491516911.9,93798890.14,350742890.1,140774021.8,1177519914,1335233727,21318653.33,21137554.81,338454572.2,359592127,152010769.6,78415263.69,1726407.56,51065735.74,-205826810.7,359592127,338454572.2,21137554.81
